,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Quantity,,,Comercial,,,,Current Date in Cell to the right,,,11-Dec-15,Contact,,
S/N,KAM,Company,New Account,Region,Segment,Vertical,Sub-Vertical, Product , Mobile Plans ,Sales Stage,Capacity, Unit , QTY , NRC , Unit MRC , Total MRC , ARC , Date Identified (mm/dd/yy) , Date Closed (mm/dd/yy) , Duration if Closed , Number of Days in Pipeline (Ageing) ,Name,Phone no,Email address
7,,,No,Lagos,Corporate,Public Sector,Construction, Leased Line (e2e) ,,Negotiation 50%,20, Mb , 20 ,,,#NAME?,#NAME?,15-Aug-15,,0,118,,,
8,,,Yes,Lagos,Corporate,Services,ICT, Dedicated Internet ,,Negotiation 50%,10, Mbps , 1 ,,,0.00,0.00,3-Aug-15,,0,130,,,
10,,,No,Lagos,Corporate,Services,ICT, Leased Line (p2p) ,,Negotiation 50%,2, Mb , 2 ,,,0.00,0.00,1-Sep-15,5-Oct-15,34,CLOSED,,,
12,,,No,Lagos,Corporate,Services,Shipping, Voice Only , Corporate Value (I) ,Negotiation 50%,,, 50 ,,,0.00,0.00,15-Aug-15,,0,118,,,
13,,,Yes,Lagos,Corporate,Services,Media (Digital), Voice Only , Corporate Value (II) ,Negotiation 50%,,, 100 ,,,0.00,0.00,15-Aug-15,,0,118,,,
14,,,Yes,Lagos,Corporate,Services,Media (Digital), Voice Only , Corporate Basic ,Negotiation 50%,,, 40 ,,,0.00,0.00,15-Aug-15,,0,118,,,
16,,,Yes,Lagos,Corporate,Services,Consulting, Voice Only , Corporate Basic ,Negotiation 50%,,, 50 ,,,0.00,0.00,27-Aug-15,,0,106,,,
17,,,Yes,Lagos,Corporate,Services,Consulting, Voice Only , Corporate Basic ,Negotiation 50%,,, 300 ,,,0.00,0.00,27-Aug-15,,0,106,,,
405,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
406,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
407,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
408,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
409,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
410,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
411,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
412,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
413,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
414,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
415,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
416,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
417,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
418,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
419,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
420,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
421,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
422,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
423,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
424,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
425,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
426,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
427,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
428,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
429,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
430,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
